use_policy,architecture,hidden_layers,parameters,n_input,seed,fold,battery_id,rmse,mae
False,linear,none,600,11,20260816,1,6,0.00010376321711068771,8.044957940001041e-05
False,linear,none,600,11,20260816,1,12,0.0004724455453434132,0.0003632354782894254
False,linear,none,600,11,20260816,1,13,0.0001374909334543609,0.00010957240738207474
False,linear,none,600,11,20260816,1,20,8.27703264271882e-05,6.773114000679925e-05
False,linear,none,600,11,20260816,1,22,9.862241873936945e-05,7.995009218575433e-05
False,linear,none,600,11,20260816,1,47,0.00038975999974929197,0.00031272292835637927
False,linear,none,600,11,20260816,1,49,9.421643529152489e-05,7.859111065044999e-05
False,linear,none,600,11,20260816,2,3,0.0016978599750933267,0.0015029131900519133
False,linear,none,600,11,20260816,2,17,0.0002691050896778966,0.00023067474830895662
False,linear,none,600,11,20260816,2,30,0.00020874873280642763,0.00015443444135598838
False,linear,none,600,11,20260816,2,38,0.00016986214764685127,0.00012794137001037598
False,linear,none,600,11,20260816,2,40,0.00012994520005163822,0.0001014101508189924
False,linear,none,600,11,20260816,2,41,0.0003873902813823043,0.0003285133861936629
False,linear,none,600,11,20260816,2,42,8.073909248010788e-05,6.260156806092709e-05
False,linear,none,600,11,20260816,2,45,0.00015112371264391973,0.00011839866783702746
False,linear,none,600,11,20260816,3,7,0.00076313448439697,0.000607625232078135
False,linear,none,600,11,20260816,3,8,0.0018450896363534546,0.001510118250735104
False,linear,none,600,11,20260816,3,23,0.0005861828783122182,0.00046839952119626105
False,linear,none,600,11,20260816,3,26,0.00019880870821486297,0.00016315937682520598
False,linear,none,600,11,20260816,3,33,0.00019978359310362552,0.0001569581072544679
False,linear,none,600,11,20260816,3,34,6.332364121184675e-05,5.155086546437815e-05
False,linear,none,600,11,20260816,3,35,0.0005204612870890957,0.0004368186055216938
False,linear,none,600,11,20260816,3,37,0.0003072809114993423,0.00025349139468744397
False,linear,none,600,11,20260816,4,4,0.00042999205509297345,0.00032423020456917584
False,linear,none,600,11,20260816,4,15,0.0002958678986345011,0.0002249622339149937
False,linear,none,600,11,20260816,4,19,0.00016005838814553628,0.00012932777462992817
False,linear,none,600,11,20260816,4,27,0.00019234578639094785,0.00015894412354100496
False,linear,none,600,11,20260816,4,29,7.706418711817799e-05,6.631255382671952e-05
False,linear,none,600,11,20260816,4,43,0.0005775642714685132,0.0004970717709511518
False,linear,none,600,11,20260816,4,44,0.00028124066197152315,0.00021050572104286402
False,linear,none,600,11,20260816,4,48,0.00024341391217472317,0.00019651174079626799
False,linear,none,600,11,20260816,5,18,0.0003296343148520686,0.0002665281353984028
False,linear,none,600,11,20260816,5,21,0.0001519288722653221,0.00012503266043495387
False,linear,none,600,11,20260816,5,28,8.870185525180615e-05,7.369518425548449e-05
False,linear,none,600,11,20260816,5,31,6.735946921405592e-05,5.437135769170709e-05
False,linear,none,600,11,20260816,5,32,0.0001653127220468833,0.00015012860239949077
False,linear,none,600,11,20260816,5,36,6.35718814905536e-05,5.1600931328721344e-05
False,linear,none,600,11,20260816,5,39,6.25449043016856e-05,4.730939690489322e-05
False,linear,none,600,11,20260816,5,46,0.00047172432370887137,0.0003976595471613109
False,linear,none,600,11,20260817,1,1,0.0020929468739053097,0.001457821112126112
False,linear,none,600,11,20260817,1,6,0.00013211537920379543,8.636236452730373e-05
False,linear,none,600,11,20260817,1,12,0.00046276696128641335,0.00035916685010306537
False,linear,none,600,11,20260817,1,13,0.00012020059892759126,9.889960347209126e-05
False,linear,none,600,11,20260817,1,20,9.793257627529693e-05,7.82513598096557e-05
False,linear,none,600,11,20260817,1,22,0.00010710060725006565,8.308887481689453e-05
False,linear,none,600,11,20260817,1,47,0.000428487920634155,0.00034197806962765753
False,linear,none,600,11,20260817,1,49,9.05325293952521e-05,8.098364196484908e-05
False,linear,none,600,11,20260817,2,3,0.0016877143148714636,0.001496151671744883
False,linear,none,600,11,20260817,2,17,0.0002773402263957192,0.00023395776224788278
False,linear,none,600,11,20260817,2,30,0.00023635529519229874,0.000174334054463543
False,linear,none,600,11,20260817,2,38,0.00017540362868781375,0.0001305210607824847
False,linear,none,600,11,20260817,2,40,0.00014121279422591964,0.00010469317203387618
False,linear,none,600,11,20260817,2,41,0.00040839695098972734,0.0003362929855939001
False,linear,none,600,11,20260817,2,42,8.363043309514423e-05,6.503462645923719e-05
False,linear,none,600,11,20260817,2,45,0.00015059055997416736,0.00011978864495176822
False,linear,none,600,11,20260817,3,7,0.0007476097661459256,0.000590095529332757
False,linear,none,600,11,20260817,3,8,0.0018825066603253523,0.0015525103081017733
False,linear,none,600,11,20260817,3,23,0.0005970234255081625,0.0004798972513526678
