window_end,use_policy,fold,battery_id,method,rmse,mae,r2
100,False,1,12,linear_tail,0.0001959123675016653,0.00018623839106501227,0.7703971301743499
100,False,1,13,linear_tail,0.0001403331087955208,0.00010730358475448787,0.8671495665870474
100,False,4,15,linear_tail,0.00016802873877123345,0.00013017699314779918,0.907195396694409
100,False,2,17,linear_tail,0.00019474646908863023,0.0001782826048205166,0.2902427206568309
100,False,5,18,linear_tail,0.00012218417999740927,9.293524873200676e-05,0.935012528442487
100,False,4,19,linear_tail,6.280397891389187e-05,5.5633036995264004e-05,0.941835350029233
100,False,1,20,linear_tail,9.971668869549262e-05,8.813671297381199e-05,0.9148749996743437
100,False,5,21,linear_tail,0.00018741254884995697,0.000150264616060094,0.9090650314459768
100,False,1,22,linear_tail,0.00011765865648121197,0.00010362214740968546,0.8268229788744574
100,False,3,23,linear_tail,0.00022906999703132015,0.00020129479872880608,0.8586251943768969
100,False,3,26,linear_tail,0.0003713596045279252,0.0003133360103377636,0.3368233634652805
100,False,4,27,linear_tail,0.00032315541514101845,0.0002827571563865572,0.4399045414815035
100,False,5,28,linear_tail,0.00016549745385242975,0.0001445635693166092,0.8831150964219721
100,False,4,29,linear_tail,0.00015784604748645791,0.00012985371068380714,0.8660196009574257
100,False,2,30,linear_tail,0.0002892891618441953,0.00023591878784357646,0.9812590861045717
100,False,5,31,linear_tail,0.00047206855508651166,0.0004222767642874725,-0.1782682090376475
100,False,5,32,linear_tail,0.00048592761790564265,0.0004283861147368739,-0.2273589262697926
100,False,3,33,linear_tail,0.00037844441297592144,0.0003377932597665212,0.2541594381028186
100,False,3,34,linear_tail,0.0003611103791794303,0.00029538146338676353,0.619951048238492
100,False,3,35,linear_tail,0.0006379915331391127,0.0006029206187201485,0.9609224135998883
100,False,5,36,linear_tail,0.00020672292841577474,0.0001471174526675334,0.7631575679612354
100,False,3,37,linear_tail,0.00010721558198809515,8.780523234845905e-05,0.943937520865655
100,False,2,38,linear_tail,7.542136096704847e-05,6.523089526704107e-05,0.9794001954783456
100,False,5,39,linear_tail,9.534559961471934e-05,7.646554252280113e-05,0.9572603731103059
100,False,2,40,linear_tail,6.617603730226213e-05,5.7841838111334366e-05,0.9857327870341994
100,False,2,41,linear_tail,0.00024385129388928797,0.00022661898774908095,0.7367997566989344
100,False,2,42,linear_tail,0.00011975061103195937,0.00010197674617905328,0.8477829321844551
100,False,4,43,linear_tail,7.221311271691326e-05,6.004288408008485e-05,0.9779224166550068
100,False,4,44,linear_tail,0.00020938374674952585,0.00018203758991204523,0.8504979038845351
100,False,2,45,linear_tail,0.00027518361306543427,0.00022893436331953288,0.28587691851869335
100,False,5,46,linear_tail,0.00017503207174243498,0.00014886261406397817,0.7355446071938916
100,False,1,47,linear_tail,0.0004129322793305858,0.0003838908220393411,-0.9387901266436736
100,False,4,48,linear_tail,6.979699910475538e-05,6.25506158496858e-05,0.9381246289857849
100,False,1,49,linear_tail,9.925847402343432e-05,7.902961059337299e-05,0.8565869382999278
100,False,1,1,torch_mlp,0.0009372177776356722,0.0007453374885517405,-0.6350948254825015
100,False,2,3,torch_mlp,0.0007602438882547201,0.0006161005945250508,-5.391755338493284
100,False,4,4,torch_mlp,0.0010677993397153252,0.0008881371782626956,0.840554332913021
100,False,1,6,torch_mlp,0.0005453273681151511,0.0005051318879486644,-0.19819814509064937
100,False,3,7,torch_mlp,0.0005302483232798917,0.0004108675264433259,0.6518791603188062
100,False,3,8,torch_mlp,0.0004076533783979146,0.000332571973267477,0.9482329341068341
100,False,1,12,torch_mlp,0.00016385598322517678,0.0001379450029344298,0.8393879168561208
100,False,1,13,torch_mlp,6.197024057438565e-05,5.0633034734346436e-05,0.9740934818564869
100,False,4,15,torch_mlp,0.00023510066521942907,0.00016497366079420316,0.8183187540901194
100,False,2,17,torch_mlp,0.00022650537646165937,0.0002088550516909038,0.039875170385810677
100,False,5,18,torch_mlp,6.0196835350309315e-05,5.2914951884304176e-05,0.9842258123165526
100,False,4,19,torch_mlp,0.00017536402351399908,0.00014828405047410343,0.5465119960492224
100,False,1,20,torch_mlp,0.00021088393283615514,0.00018105263483448653,0.6192776133047428
100,False,5,21,torch_mlp,8.805227172051919e-05,7.569202156446409e-05,0.9799268875855962
100,False,1,22,torch_mlp,0.0001760995608601199,0.00016148015134604066,0.6120649312593971
100,False,3,23,torch_mlp,0.00011203989387186145,7.947393743961583e-05,0.9661794257012672
100,False,3,26,torch_mlp,0.0007820413256954406,0.0006926398322320892,-1.9410289739390199
100,False,4,27,torch_mlp,0.0001062605190344169,8.725259998755063e-05,0.9394403939404709
100,False,5,28,torch_mlp,5.956472368123765e-05,4.3882327372557486e-05,0.984859017671996
100,False,4,29,torch_mlp,5.7215182341605194e-05,5.123682814883068e-05,0.9823966057094367
100,False,2,30,torch_mlp,0.0008902278215244969,0.0007537834005779587,0.8225284409559904
100,False,5,31,torch_mlp,0.00021223845320686823,0.00019449689742032206,0.76183268616772
100,False,5,32,torch_mlp,0.00019617760733040183,0.00018015937097516145,0.7999551910919014
100,False,3,33,torch_mlp,4.947958831891704e-05,4.176972230197862e-05,0.9872504763952662
100,False,3,34,torch_mlp,0.0001500389521426436,0.0001245908602140844,0.9343903620370562
100,False,3,35,torch_mlp,0.000534390909292275,0.0004513180343201384,0.9725832466631511
100,False,5,36,torch_mlp,0.00017382109931077838,0.00013629026056150907,0.8325492105206218
100,False,3,37,torch_mlp,0.0002491923750767236,0.00022715901512128766,0.6971511123644341
100,False,2,38,torch_mlp,3.568590530807209e-05,2.9920542147010565e-05,0.9953882282261808
